States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Uttar Pradesh,,Masoor (Lentil),1972-1973,189.00,118.00,624
West Bengal,,Masoor (Lentil),1972-1973,105.00,41.00,390
India,,Masoor (Lentil),1972-1973,834.00,373.00,447
Assam,,Masoor (Lentil),1973-1974,9.00,4.00,444
Bihar,,Masoor (Lentil),1973-1974,142.00,66.00,465
Haryana,,Masoor (Lentil),1973-1974,33.00,14.00,424
Himachal Pradesh,,Masoor (Lentil),1973-1974,3.00,1.00,333
Jammu & Kashmir,,Masoor (Lentil),1973-1974,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1973-1974,345.00,121.00,351
Maharashtra,,Masoor (Lentil),1973-1974,12.00,4.00,333
Punjab,,Masoor (Lentil),1973-1974,19.00,8.00,421
Rajasthan,,Masoor (Lentil),1973-1974,13.00,9.00,692
Uttar Pradesh,,Masoor (Lentil),1973-1974,199.00,93.00,467
West Bengal,,Masoor (Lentil),1973-1974,149.00,86.00,577
India,,Masoor (Lentil),1973-1974,925.00,407.00,440
Assam,,Masoor (Lentil),1974-1975,12.00,6.00,500
Bihar,,Masoor (Lentil),1974-1975,146.00,98.00,671
Haryana,,Masoor (Lentil),1974-1975,28.00,11.00,393
Himachal Pradesh,,Masoor (Lentil),1974-1975,3.00,1.00,333
Jammu & Kashmir,,Masoor (Lentil),1974-1975,1.00,-,-
Madhya Pradesh,,Masoor (Lentil),1974-1975,350.00,150.00,429
Maharashtra,,Masoor (Lentil),1974-1975,13.00,5.00,385
Punjab,,Masoor (Lentil),1974-1975,20.00,9.00,450
Rajasthan,,Masoor (Lentil),1974-1975,13.00,9.00,692
Uttar Pradesh,,Masoor (Lentil),1974-1975,211.00,94.00,445
West Bengal,,Masoor (Lentil),1974-1975,157.00,74.00,471
India,,Masoor (Lentil),1974-1975,953.00,457.00,480
Assam,,Masoor (Lentil),1975-1976,10.00,5.00,500
Bihar,,Masoor (Lentil),1975-1976,152.00,89.00,586
Haryana,,Masoor (Lentil),1975-1976,26.00,12.00,462
Himachal Pradesh,,Masoor (Lentil),1975-1976,2.00,1.00,500
Jammu & Kashmir,,Masoor (Lentil),1975-1976,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1975-1976,325.00,144.00,443
Maharashtra,,Masoor (Lentil),1975-1976,15.00,6.00,400
Punjab,,Masoor (Lentil),1975-1976,15.00,7.00,467
Rajasthan,,Masoor (Lentil),1975-1976,14.00,6.00,429
Tripura,,Masoor (Lentil),1975-1976,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1975-1976,230.00,122.00,530
West Bengal,,Masoor (Lentil),1975-1976,145.00,69.00,476
India,,Masoor (Lentil),1975-1976,937.00,461.00,492
Assam,,Masoor (Lentil),1976-1977,12.00,5.00,417
Bihar,,Masoor (Lentil),1976-1977,157.00,88.00,561
Haryana,,Masoor (Lentil),1976-1977,23.00,10.00,435
Jammu & Kashmir,,Masoor (Lentil),1976-1977,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1976-1977,300.00,115.00,383
Maharashtra,,Masoor (Lentil),1976-1977,16.00,6.00,375
Punjab,,Masoor (Lentil),1976-1977,13.00,6.00,462
Rajasthan,,Masoor (Lentil),1976-1977,12.00,7.00,583
Tripura,,Masoor (Lentil),1976-1977,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1976-1977,222.00,109.00,491
West Bengal,,Masoor (Lentil),1976-1977,98.00,46.00,469
India,,Masoor (Lentil),1976-1977,853.00,394.00,462
Assam,,Masoor (Lentil),1977-1978,12.00,5.00,417
Bihar,,Masoor (Lentil),1977-1978,163.00,82.00,503
Haryana,,Masoor (Lentil),1977-1978,28.00,13.00,464
Jammu & Kashmir,,Masoor (Lentil),1977-1978,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1977-1978,310.00,100.00,323
Maharashtra,,Masoor (Lentil),1977-1978,16.00,6.00,375
Rajasthan,,Masoor (Lentil),1977-1978,16.00,10.00,625
Tripura,,Masoor (Lentil),1977-1978,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1977-1978,240.00,115.00,479
West Bengal,,Masoor (Lentil),1977-1978,94.00,52.00,553
India,,Masoor (Lentil),1977-1978,881.00,384.00,436
Assam,,Masoor (Lentil),1978-1979,13.00,6.00,462
Bihar,,Masoor (Lentil),1978-1979,166.00,88.00,530
Haryana,,Masoor (Lentil),1978-1979,21.00,14.00,667
Jammu & Kashmir,,Masoor (Lentil),1978-1979,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1978-1979,324.00,121.00,373
Maharashtra,,Masoor (Lentil),1978-1979,14.00,5.00,357
Punjab,,Masoor (Lentil),1978-1979,20.00,10.00,500
Rajasthan,,Masoor (Lentil),1978-1979,23.00,12.00,522
Tripura,,Masoor (Lentil),1978-1979,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1978-1979,300.00,145.00,483
West Bengal,,Masoor (Lentil),1978-1979,122.00,45.00,369
India,,Masoor (Lentil),1978-1979,1006.00,446.00,443
Assam,,Masoor (Lentil),1979-1980,14.00,6.00,448
Bihar,,Masoor (Lentil),1979-1980,155.00,82.00,532
Haryana,,Masoor (Lentil),1979-1980,21.00,14.00,654
Jammu & Kashmir,,Masoor (Lentil),1979-1980,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1979-1980,282.00,72.00,256
Maharashtra,,Masoor (Lentil),1979-1980,9.00,4.00,428
Rajasthan,,Masoor (Lentil),1979-1980,16.00,9.00,599
Uttar Pradesh,,Masoor (Lentil),1979-1980,238.00,85.00,357
West Bengal,,Masoor (Lentil),1979-1980,112.00,46.00,413
India,,Masoor (Lentil),1979-1980,849.00,320.00,377
Assam,,Masoor (Lentil),1980-1981,15.00,6.00,419
Bihar,,Masoor (Lentil),1980-1981,200.00,128.00,641
Haryana,,Masoor (Lentil),1980-1981,29.00,14.00,476
Jammu & Kashmir,,Masoor (Lentil),1980-1981,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1980-1981,273.00,108.00,394
Maharashtra,,Masoor (Lentil),1980-1981,9.00,2.00,258
Punjab,,Masoor (Lentil),1980-1981,20.00,9.00,443
Rajasthan,,Masoor (Lentil),1980-1981,16.00,10.00,635
Uttar Pradesh,,Masoor (Lentil),1980-1981,276.00,157.00,569
West Bengal,,Masoor (Lentil),1980-1981,95.00,30.00,320
India,,Masoor (Lentil),1980-1981,935.00,465.00,498
Bihar,,Masoor (Lentil),1981-1982,153.00,100.00,653
Haryana,,Masoor (Lentil),1981-1982,24.00,12.00,473
Jammu & Kashmir,,Masoor (Lentil),1981-1982,1.00,-,-
Madhya Pradesh,,Masoor (Lentil),1981-1982,302.00,112.00,373
Maharashtra,,Masoor (Lentil),1981-1982,16.00,5.00,299
Punjab,,Masoor (Lentil),1981-1982,20.00,8.00,379
Rajasthan,,Masoor (Lentil),1981-1982,17.00,11.00,613
Uttar Pradesh,,Masoor (Lentil),1981-1982,339.00,217.00,641
West Bengal,,Masoor (Lentil),1981-1982,73.00,32.00,443
India,,Masoor (Lentil),1981-1982,945.00,497.00,525
Bihar,,Masoor (Lentil),1982-1983,165.00,97.00,588
Haryana,,Masoor (Lentil),1982-1983,19.00,10.00,526
Jammu & Kashmir,,Masoor (Lentil),1982-1983,1.00,-,-
Madhya Pradesh,,Masoor (Lentil),1982-1983,309.00,121.00,392
Maharashtra,,Masoor (Lentil),1982-1983,14.00,4.00,286
Punjab,,Masoor (Lentil),1982-1983,14.00,6.00,429
Rajasthan,,Masoor (Lentil),1982-1983,18.00,13.00,722
Tripura,,Masoor (Lentil),1982-1983,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1982-1983,378.00,205.00,542
West Bengal,,Masoor (Lentil),1982-1983,76.00,33.00,434
India,,Masoor (Lentil),1982-1983,996.00,489.00,491
Bihar,,Masoor (Lentil),1983-1984,165.00,115.00,697
Haryana,,Masoor (Lentil),1983-1984,19.00,9.00,474
Jammu & Kashmir,,Masoor (Lentil),1983-1984,1.00,-,-
Madhya Pradesh,,Masoor (Lentil),1983-1984,288.00,126.00,438
Maharashtra,,Masoor (Lentil),1983-1984,21.00,5.00,238
Punjab,,Masoor (Lentil),1983-1984,7.00,4.00,571
Rajasthan,,Masoor (Lentil),1983-1984,21.00,12.00,571
Tripura,,Masoor (Lentil),1983-1984,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1983-1984,350.00,219.00,626
West Bengal,,Masoor (Lentil),1983-1984,70.00,42.00,600
India,,Masoor (Lentil),1983-1984,943.00,534.00,566
Bihar,,Masoor (Lentil),1984-1985,173.00,125.00,723
Haryana,,Masoor (Lentil),1984-1985,17.00,10.00,588
Madhya Pradesh,,Masoor (Lentil),1984-1985,291.00,114.00,392
Maharashtra,,Masoor (Lentil),1984-1985,15.00,4.00,267
Punjab,,Masoor (Lentil),1984-1985,7.00,4.00,571
Rajasthan,,Masoor (Lentil),1984-1985,20.00,17.00,850
Tripura,,Masoor (Lentil),1984-1985,1.00,-,-
Uttar Pradesh,,Masoor (Lentil),1984-1985,384.00,232.00,604
West Bengal,,Masoor (Lentil),1984-1985,75.00,41.00,547
India,,Masoor (Lentil),1984-1985,983.00,547.00,556
Bihar,,Masoor (Lentil),1985-1986,166.50,128.60,772
Haryana,,Masoor (Lentil),1985-1986,26.30,14.20,540
Jammu & Kashmir,,Masoor (Lentil),1985-1986,0.50,0.50,1000
Madhya Pradesh,,Masoor (Lentil),1985-1986,309.30,121.40,393
Maharashtra,,Masoor (Lentil),1985-1986,16.30,4.60,282
Punjab,,Masoor (Lentil),1985-1986,11.60,7.50,647
Rajasthan,,Masoor (Lentil),1985-1986,22.10,19.80,896
Tripura,,Masoor (Lentil),1985-1986,0.60,0.20,333
Uttar Pradesh,,Masoor (Lentil),1985-1986,444.50,315.60,710
West Bengal,,Masoor (Lentil),1985-1986,93.00,50.10,539
India,,Masoor (Lentil),1985-1986,1090.70,662.50,607
Bihar,,Masoor (Lentil),1986-1987,170.40,117.60,690
Haryana,,Masoor (Lentil),1986-1987,23.90,14.10,590
Jammu & Kashmir,,Masoor (Lentil),1986-1987,0.60,0.20,333
Madhya Pradesh,,Masoor (Lentil),1986-1987,302.80,130.20,430
Maharashtra,,Masoor (Lentil),1986-1987,8.50,2.30,271
Punjab,,Masoor (Lentil),1986-1987,13.10,9.60,733
Rajasthan,,Masoor (Lentil),1986-1987,16.60,17.10,1030
Tripura,,Masoor (Lentil),1986-1987,0.60,0.20,333
Uttar Pradesh,,Masoor (Lentil),1986-1987,466.00,323.40,694
West Bengal,,Masoor (Lentil),1986-1987,84.50,44.60,528
India,,Masoor (Lentil),1986-1987,1087.00,659.60,607
Bihar,,Masoor (Lentil),1987-1988,168.10,131.20,781
Haryana,,Masoor (Lentil),1987-1988,14.70,7.00,476
Jammu & Kashmir,,Masoor (Lentil),1987-1988,0.70,0.30,429
Madhya Pradesh,,Masoor (Lentil),1987-1988,308.00,149.00,484
Maharashtra,,Masoor (Lentil),1987-1988,12.40,3.70,298
Punjab,,Masoor (Lentil),1987-1988,9.80,6.10,622
Rajasthan,,Masoor (Lentil),1987-1988,10.40,7.70,740
Tripura,,Masoor (Lentil),1987-1988,0.60,0.30,500
Uttar Pradesh,,Masoor (Lentil),1987-1988,435.00,291.10,669
West Bengal,,Masoor (Lentil),1987-1988,80.60,63.90,793
India,,Masoor (Lentil),1987-1988,1040.30,660.30,635
Bihar,,Masoor (Lentil),1988-1989,170.20,133.50,784
Haryana,,Masoor (Lentil),1988-1989,17.60,10.30,585
Jammu & Kashmir,,Masoor (Lentil),1988-1989,0.70,0.30,429
Madhya Pradesh,,Masoor (Lentil),1988-1989,317.70,151.30,476
Maharashtra,,Masoor (Lentil),1988-1989,9.50,4.80,505
Punjab,,Masoor (Lentil),1988-1989,11.00,8.00,727
Rajasthan,,Masoor (Lentil),1988-1989,11.60,9.70,836
Tripura,,Masoor (Lentil),1988-1989,0.70,0.30,429
Uttar Pradesh,,Masoor (Lentil),1988-1989,461.10,352.40,764
West Bengal,,Masoor (Lentil),1988-1989,81.70,63.30,775
India,,Masoor (Lentil),1988-1989,1081.80,733.90,678
Bihar,,Masoor (Lentil),1989-1990,181.70,137.20,755
Haryana,,Masoor (Lentil),1989-1990,16.10,9.60,596
Jammu & Kashmir,,Masoor (Lentil),1989-1990,0.50,0.20,400
Madhya Pradesh,,Masoor (Lentil),1989-1990,315.10,145.30,461
Maharashtra,,Masoor (Lentil),1989-1990,9.10,4.00,440
Punjab,,Masoor (Lentil),1989-1990,9.40,6.10,649
Rajasthan,,Masoor (Lentil),1989-1990,10.00,6.50,650
Tripura,,Masoor (Lentil),1989-1990,0.80,0.40,500
Uttar Pradesh,,Masoor (Lentil),1989-1990,490.30,347.20,708
West Bengal,,Masoor (Lentil),1989-1990,78.80,49.70,631
India,,Masoor (Lentil),1989-1990,1111.80,706.20,635
Bihar,,Masoor (Lentil),1990-1991,187.90,167.70,892
Haryana,,Masoor (Lentil),1990-1991,18.30,11.00,601
Jammu & Kashmir,,Masoor (Lentil),1990-1991,0.40,0.20,500
Madhya Pradesh,,Masoor (Lentil),1990-1991,334.60,166.40,497
Maharashtra,,Masoor (Lentil),1990-1991,7.90,3.20,405
Punjab,,Masoor (Lentil),1990-1991,9.30,6.40,688
Rajasthan,,Masoor (Lentil),1990-1991,14.40,12.40,861
Tripura,,Masoor (Lentil),1990-1991,0.80,0.40,500
Uttar Pradesh,,Masoor (Lentil),1990-1991,540.40,430.50,797
West Bengal,,Masoor (Lentil),1990-1991,73.80,53.20,721
India,,Masoor (Lentil),1990-1991,1187.80,851.40,717
Assam,,Masoor (Lentil),1991-1992,17.30,8.10,468
Bihar,,Masoor (Lentil),1991-1992,182.00,150.70,828
Haryana,,Masoor (Lentil),1991-1992,14.40,8.90,618
Jammu & Kashmir,,Masoor (Lentil),1991-1992,0.30,0.10,333
Madhya Pradesh,,Masoor (Lentil),1991-1992,347.50,160.50,462
Maharashtra,,Masoor (Lentil),1991-1992,3.90,1.40,359
Punjab,,Masoor (Lentil),1991-1992,7.30,4.60,630
Rajasthan,,Masoor (Lentil),1991-1992,12.00,9.40,783
Tripura,,Masoor (Lentil),1991-1992,0.80,0.40,500
Uttar Pradesh,,Masoor (Lentil),1991-1992,541.60,415.20,767
West Bengal,,Masoor (Lentil),1991-1992,62.00,42.40,684
India,,Masoor (Lentil),1991-1992,1189.10,801.70,674
Assam,,Masoor (Lentil),1992-1993,16.10,7.70,478
Bihar,,Masoor (Lentil),1992-1993,169.00,144.50,855
Haryana,,Masoor (Lentil),1992-1993,12.50,7.50,600
Jammu & Kashmir,,Masoor (Lentil),1992-1993,0.30,0.10,333
Madhya Pradesh,,Masoor (Lentil),1992-1993,375.00,176.60,471
Maharashtra,,Masoor (Lentil),1992-1993,9.80,2.50,255
Punjab,,Masoor (Lentil),1992-1993,6.00,3.80,633
Rajasthan,,Masoor (Lentil),1992-1993,17.10,14.70,860
Tripura,,Masoor (Lentil),1992-1993,0.90,0.50,556
Uttar Pradesh,,Masoor (Lentil),1992-1993,543.20,394.60,726
West Bengal,,Masoor (Lentil),1992-1993,54.00,38.30,709
India,,Masoor (Lentil),1992-1993,1203.90,790.80,657
Assam,,Masoor (Lentil),1993-1994,15.00,7.40,493
Bihar,,Masoor (Lentil),1993-1994,180.50,128.80,714
Haryana,,Masoor (Lentil),1993-1994,11.30,7.60,673
Jammu & Kashmir,,Masoor (Lentil),1993-1994,0.30,0.10,333
Madhya Pradesh,,Masoor (Lentil),1993-1994,398.30,190.80,479
Maharashtra,,Masoor (Lentil),1993-1994,12.00,5.10,425
Punjab,,Masoor (Lentil),1993-1994,5.70,3.80,667
Rajasthan,,Masoor (Lentil),1993-1994,13.30,10.70,805
Tripura,,Masoor (Lentil),1993-1994,0.60,0.30,500
Uttar Pradesh,,Masoor (Lentil),1993-1994,494.00,366.60,742
West Bengal,,Masoor (Lentil),1993-1994,52.40,26.70,510
India,,Masoor (Lentil),1993-1994,1183.40,747.90,632
Assam,,Masoor (Lentil),1994-1995,16.10,8.40,522
Bihar,,Masoor (Lentil),1994-1995,166.90,159.40,955
Haryana,,Masoor (Lentil),1994-1995,9.30,6.60,710
Jammu & Kashmir,,Masoor (Lentil),1994-1995,0.20,0.10,500
Madhya Pradesh,,Masoor (Lentil),1994-1995,429.20,205.70,479
Maharashtra,,Masoor (Lentil),1994-1995,14.10,5.50,390
Punjab,,Masoor (Lentil),1994-1995,5.40,3.90,722
Rajasthan,,Masoor (Lentil),1994-1995,12.10,10.60,876
Tripura,,Masoor (Lentil),1994-1995,0.50,0.20,400
Uttar Pradesh,,Masoor (Lentil),1994-1995,460.00,358.00,778
West Bengal,,Masoor (Lentil),1994-1995,42.10,25.40,603
India,,Masoor (Lentil),1994-1995,1155.90,783.80,678
Assam,,Masoor (Lentil),1995-1996,16.20,8.70,537
Bihar,,Masoor (Lentil),1995-1996,162.20,97.10,599
Haryana,,Masoor (Lentil),1995-1996,11.10,7.70,694
Jammu & Kashmir,,Masoor (Lentil),1995-1996,0.20,0.10,500
Madhya Pradesh,,Masoor (Lentil),1995-1996,499.70,229.00,458
Maharashtra,,Masoor (Lentil),1995-1996,10.40,4.90,471
Punjab,,Masoor (Lentil),1995-1996,5.90,3.80,644
Rajasthan,,Masoor (Lentil),1995-1996,17.80,14.80,831
Tripura,,Masoor (Lentil),1995-1996,0.40,0.20,500
Uttar Pradesh,,Masoor (Lentil),1995-1996,487.40,317.00,650
West Bengal,,Masoor (Lentil),1995-1996,44.10,30.40,689
India,,Masoor (Lentil),1995-1996,1255.40,713.70,569
Assam,,Masoor (Lentil),1996-1997,19.30,10.20,528
Bihar,,Masoor (Lentil),1996-1997,173.30,163.70,945
Haryana,,Masoor (Lentil),1996-1997,11.10,9.00,811
Jammu & Kashmir,,Masoor (Lentil),1996-1997,0.20,0.10,500
Madhya Pradesh,,Masoor (Lentil),1996-1997,512.10,245.90,480
Maharashtra,,Masoor (Lentil),1996-1997,10.10,4.90,485
Punjab,,Masoor (Lentil),1996-1997,5.70,3.30,579
Rajasthan,,Masoor (Lentil),1996-1997,31.80,32.30,1016
Tripura,,Masoor (Lentil),1996-1997,0.50,0.20,400
Uttar Pradesh,,Masoor (Lentil),1996-1997,554.00,449.20,811
West Bengal,,Masoor (Lentil),1996-1997,51.30,43.20,842
India,,Masoor (Lentil),1996-1997,1369.40,962.00,702
Assam,,Masoor (Lentil),1997-1998,19.30,10.20,528
Bihar,,Masoor (Lentil),1997-1998,173.90,128.50,739
Haryana,,Masoor (Lentil),1997-1998,13.80,11.90,862
Jammu & Kashmir,,Masoor (Lentil),1997-1998,0.40,0.20,500
Madhya Pradesh,,Masoor (Lentil),1997-1998,479.40,206.10,430
Maharashtra,,Masoor (Lentil),1997-1998,7.00,3.00,429
Punjab,,Masoor (Lentil),1997-1998,5.20,3.40,654
Rajasthan,,Masoor (Lentil),1997-1998,33.20,40.00,1205
Tripura,,Masoor (Lentil),1997-1998,0.50,0.20,400
Uttar Pradesh,,Masoor (Lentil),1997-1998,505.70,365.40,723
West Bengal,,Masoor (Lentil),1997-1998,51.20,35.00,684
India,,Masoor (Lentil),1997-1998,1289.60,803.90,623
Assam,,Masoor (Lentil),1998-1999,25.30,13.30,526
Bihar,,Masoor (Lentil),1998-1999,183.50,184.30,1004
Haryana,,Masoor (Lentil),1998-1999,7.30,5.40,740
Jammu & Kashmir,,Masoor (Lentil),1998-1999,0.40,0.20,500
Madhya Pradesh,,Masoor (Lentil),1998-1999,513.00,245.00,478
Maharashtra,,Masoor (Lentil),1998-1999,7.40,3.10,419
Punjab,,Masoor (Lentil),1998-1999,4.30,2.80,651
Rajasthan,,Masoor (Lentil),1998-1999,49.60,52.60,1060
Tripura,,Masoor (Lentil),1998-1999,0.30,0.10,333
Uttar Pradesh,,Masoor (Lentil),1998-1999,545.50,395.40,725
West Bengal,,Masoor (Lentil),1998-1999,51.90,35.60,686
India,,Masoor (Lentil),1998-1999,1388.50,937.80,675
Assam,,Masoor (Lentil),1999-2000,21.40,11.10,519
Bihar,,Masoor (Lentil),1999-2000,175.40,173.80,991
Haryana,,Masoor (Lentil),1999-2000,7.90,5.10,646
Jammu & Kashmir,,Masoor (Lentil),1999-2000,0.80,0.10,125
Madhya Pradesh,,Masoor (Lentil),1999-2000,534.80,279.30,522
Maharashtra,,Masoor (Lentil),1999-2000,8.50,4.00,471
Punjab,,Masoor (Lentil),1999-2000,3.90,2.60,667
Rajasthan,,Masoor (Lentil),1999-2000,41.10,50.60,1231
Tripura,,Masoor (Lentil),1999-2000,0.30,0.20,667
Uttar Pradesh,,Masoor (Lentil),1999-2000,585.50,484.60,828
West Bengal,,Masoor (Lentil),1999-2000,82.00,67.50,823
India,,Masoor (Lentil),1999-2000,1461.60,1078.90,738
Assam,,Masoor (Lentil),2000-2001,20.30,10.70,527
Bihar,,Masoor (Lentil),2000-2001,172.20,169.00,981
Chhattisgarh,,Masoor (Lentil),2000-2001,12.60,3.40,270
Haryana,,Masoor (Lentil),2000-2001,7.40,4.90,662
Jammu & Kashmir,,Masoor (Lentil),2000-2001,0.10,0.10,1000
Madhya Pradesh,,Masoor (Lentil),2000-2001,489.20,206.50,422
Maharashtra,,Masoor (Lentil),2000-2001,6.00,2.00,333
Punjab,,Masoor (Lentil),2000-2001,4.70,3.10,660
Rajasthan,,Masoor (Lentil),2000-2001,21.70,25.80,1189
Tripura,,Masoor (Lentil),2000-2001,0.20,0.10,500
Uttar Pradesh,,Masoor (Lentil),2000-2001,651.70,408.10,626
Uttarakhand,,Masoor (Lentil),2000-2001,15.70,13.00,828
West Bengal,,Masoor (Lentil),2000-2001,76.00,68.50,901
India,,Masoor (Lentil),2000-2001,1477.80,915.20,619
Assam,,Masoor (Lentil),2001-2002,21.30,11.20,526
Bihar,,Masoor (Lentil),2001-2002,172.60,137.80,798
Chhattisgarh,,Masoor (Lentil),2001-2002,15.90,5.20,327
Haryana,,Masoor (Lentil),2001-2002,8.90,7.80,876
Jammu & Kashmir,,Masoor (Lentil),2001-2002,0.10,0.00,0
Jharkhand,,Masoor (Lentil),2001-2002,6.40,4.10,641
Madhya Pradesh,,Masoor (Lentil),2001-2002,500.20,240.40,481
Maharashtra,,Masoor (Lentil),2001-2002,8.00,4.00,500
Punjab,,Masoor (Lentil),2001-2002,4.30,3.00,698
Rajasthan,,Masoor (Lentil),2001-2002,17.00,15.40,906
Tripura,,Masoor (Lentil),2001-2002,0.40,0.20,500
Uttar Pradesh,,Masoor (Lentil),2001-2002,625.00,500.00,800
Uttarakhand,,Masoor (Lentil),2001-2002,14.90,7.80,523
West Bengal,,Masoor (Lentil),2001-2002,71.40,37.50,525
India,,Masoor (Lentil),2001-2002,1466.40,974.40,664
Assam,,Masoor (Lentil),2002-2003,20.00,11.00,550
Bihar,,Masoor (Lentil),2002-2003,179.60,156.60,872
Chhattisgarh,,Masoor (Lentil),2002-2003,15.00,4.60,307
Haryana,,Masoor (Lentil),2002-2003,5.40,5.10,944
Jammu & Kashmir,,Masoor (Lentil),2002-2003,0.20,0.10,500
Jharkhand,,Masoor (Lentil),2002-2003,6.30,3.80,603
Madhya Pradesh,,Masoor (Lentil),2002-2003,466.90,181.00,388
Maharashtra,,Masoor (Lentil),2002-2003,6.00,2.00,333
Punjab,,Masoor (Lentil),2002-2003,4.00,2.70,675
Rajasthan,,Masoor (Lentil),2002-2003,5.90,5.70,966
Tripura,,Masoor (Lentil),2002-2003,0.40,0.20,500
Uttar Pradesh,,Masoor (Lentil),2002-2003,583.90,449.90,771
Uttarakhand,,Masoor (Lentil),2002-2003,14.70,7.30,497
West Bengal,,Masoor (Lentil),2002-2003,68.70,43.20,629
India,,Masoor (Lentil),2002-2003,1377.00,873.20,634
Assam,,Masoor (Lentil),2003-2004,22.00,12.00,545
Bihar,,Masoor (Lentil),2003-2004,171.00,159.80,935
Chhattisgarh,,Masoor (Lentil),2003-2004,18.00,6.20,344
Haryana,,Masoor (Lentil),2003-2004,6.30,5.10,810
Jammu & Kashmir,,Masoor (Lentil),2003-2004,0.20,0.10,500
Jharkhand,,Masoor (Lentil),2003-2004,21.80,14.00,642
Madhya Pradesh,,Masoor (Lentil),2003-2004,478.80,240.40,502
Maharashtra,,Masoor (Lentil),2003-2004,8.00,3.00,375
Punjab,,Masoor (Lentil),2003-2004,3.60,2.30,639
Rajasthan,,Masoor (Lentil),2003-2004,26.10,28.80,1103
Tripura,,Masoor (Lentil),2003-2004,0.30,0.20,667
Uttar Pradesh,,Masoor (Lentil),2003-2004,556.70,504.80,907
Uttarakhand,,Masoor (Lentil),2003-2004,14.20,7.90,556
West Bengal,,Masoor (Lentil),2003-2004,69.40,53.20,767
India,,Masoor (Lentil),2003-2004,1396.40,1037.80,743
Assam,,Masoor (Lentil),2004-2005,20.50,11.50,561
Bihar,,Masoor (Lentil),2004-2005,178.70,127.00,711
Chhattisgarh,,Masoor (Lentil),2004-2005,17.20,4.40,256
Haryana,,Masoor (Lentil),2004-2005,8.60,8.20,953
Jammu & Kashmir,,Masoor (Lentil),2004-2005,0.20,0.10,500
Jharkhand,,Masoor (Lentil),2004-2005,22.20,16.30,734
Madhya Pradesh,,Masoor (Lentil),2004-2005,497.70,247.70,498
Maharashtra,,Masoor (Lentil),2004-2005,5.50,1.40,255
Punjab,,Masoor (Lentil),2004-2005,3.30,1.60,485
