States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,
Rajasthan,Rabi,Pea,1979-1980,4.9,4.5,918,,
Tripura,Rabi,Pea,1979-1980,0.5,0.2,400,,
Uttar Pradesh,Rabi,Pea,1979-1980,293.3,168.9,576,,
West Bengal,Rabi,Pea,1979-1980,5.3,2.2,415,,
India,Rabi,Pea,1979-1980,485,233.7,482,,
Assam,Rabi,Pea,1980-1981,20,7.3,365,,
Bihar,Rabi,Pea,1980-1981,35,18.7,534,,
Haryana,Rabi,Pea,1980-1981,7.2,3.7,514,,
Jammu & Kashmir*,Rabi,Pea,1980-1981,3.3,3.4,1030,,
Kerala*,Rabi,Pea,1980-1981,8.9,5.7,640,,
Madhya Pradesh,Rabi,Pea,1980-1981,103,31,301,,
Maharashtra,Rabi,Pea,1980-1981,8.4,2,238,,
Punjab,Rabi,Pea,1980-1981,3.6,2,556,,
Rajasthan,Rabi,Pea,1980-1981,4.2,3.5,833,,
Tripura,Rabi,Pea,1980-1981,0.8,0.3,375,,
Uttar Pradesh,Rabi,Pea,1980-1981,223.8,212.3,949,,
West Bengal,Rabi,Pea,1980-1981,5,1.3,260,,
India,Rabi,Pea,1980-1981,423.2,291.2,688,,
Bihar,Rabi,Pea,1981-1982,30.7,15.6,508,,
Haryana,Rabi,Pea,1981-1982,10.1,5.5,545,,
Jammu & Kashmir*,Rabi,Pea,1981-1982,1.8,1.6,889,,
Kerala*,Rabi,Pea,1981-1982,8.7,5.5,632,,
Madhya Pradesh,Rabi,Pea,1981-1982,109.9,29.7,270,,
Maharashtra,Rabi,Pea,1981-1982,12.9,3.2,248,,
Punjab,Rabi,Pea,1981-1982,3.1,2.6,839,,
Rajasthan,Rabi,Pea,1981-1982,5.5,6.8,1236,,
Tripura,Rabi,Pea,1981-1982,0.5,0.2,400,,
Uttar Pradesh,Rabi,Pea,1981-1982,246.4,227.2,922,,
West Bengal,Rabi,Pea,1981-1982,3,1.1,367,,
India,Rabi,Pea,1981-1982,432.6,299,691,,
Bihar,Rabi,Pea,1982-1983,28.9,19.2,664,,
Haryana,Rabi,Pea,1982-1983,6.3,3.5,556,,
Jammu & Kashmir*,Rabi,Pea,1982-1983,2.1,1.7,810,,
Kerala*,Rabi,Pea,1982-1983,7.2,2.9,403,,
Madhya Pradesh,Rabi,Pea,1982-1983,115.1,34.9,303,,
Maharashtra,Rabi,Pea,1982-1983,13.2,3,227,,
Punjab,Rabi,Pea,1982-1983,5.3,3,566,,
Rajasthan,Rabi,Pea,1982-1983,9.5,9.2,968,,
Tripura,Rabi,Pea,1982-1983,0.6,0.3,500,,
Uttar Pradesh,Rabi,Pea,1982-1983,257.7,258.4,1003,,
West Bengal,Rabi,Pea,1982-1983,4.1,1.2,293,,
India,Rabi,Pea,1982-1983,450,337.3,750,,
Bihar,Rabi,Pea,1983-1984,29.3,19.8,676,,
Haryana,Rabi,Pea,1983-1984,7.6,4.1,539,,
Jammu & Kashmir*,Rabi,Pea,1983-1984,2.2,1.9,864,,
Kerala*,Rabi,Pea,1983-1984,7.6,4.7,618,,
Madhya Pradesh,Rabi,Pea,1983-1984,128.2,42.5,332,,
Maharashtra,Rabi,Pea,1983-1984,16.8,4.8,286,,
Punjab,Rabi,Pea,1983-1984,4.4,3.8,864,,
Rajasthan,Rabi,Pea,1983-1984,13.4,11.5,858,,
Tripura,Rabi,Pea,1983-1984,0.6,0.2,333,,
Uttar Pradesh,Rabi,Pea,1983-1984,229,268.9,1174,,
West Bengal,Rabi,Pea,1983-1984,4.7,1,213,,
India,Rabi,Pea,1983-1984,443.8,363.2,819,,
Bihar,Rabi,Pea,1984-1985,31.4,22.8,726,,
Haryana,Rabi,Pea,1984-1985,6.5,3.6,554,,
Jammu & Kashmir*,Rabi,Pea,1984-1985,1.6,1.4,875,,
Kerala*,Rabi,Pea,1984-1985,7.1,4.5,634,,
Madhya Pradesh,Rabi,Pea,1984-1985,122.2,37.5,307,,
Maharashtra,Rabi,Pea,1984-1985,14.9,4.2,282,,
Punjab,Rabi,Pea,1984-1985,4.4,3.9,886,,
Rajasthan,Rabi,Pea,1984-1985,8.9,8.8,989,,
Tripura,Rabi,Pea,1984-1985,0.5,0.2,400,,
Uttar Pradesh,Rabi,Pea,1984-1985,242,242,1000,,
West Bengal,Rabi,Pea,1984-1985,4,1.8,450,,
India,Rabi,Pea,1984-1985,443.5,330.7,745,,
Bihar,Rabi,Pea,1985-1986,35.2,23.4,665,,
Haryana,Rabi,Pea,1985-1986,10.8,6.3,583,,
Jammu & Kashmir*,Rabi,Pea,1985-1986,2,2,1000,,
Kerala*,Rabi,Pea,1985-1986,8.3,4.5,542,,
Madhya Pradesh,Rabi,Pea,1985-1986,128.4,33.7,262,,
Maharashtra,Rabi,Pea,1985-1986,13,5.6,431,,
Punjab,Rabi,Pea,1985-1986,6.3,5.7,905,,
Rajasthan,Rabi,Pea,1985-1986,13.2,15.1,1144,,
Tripura,Rabi,Pea,1985-1986,0.6,0.2,333,,
Uttar Pradesh,Rabi,Pea,1985-1986,279.1,329.6,1181,,
West Bengal,Rabi,Pea,1985-1986,5.1,2.1,412,,
India,Rabi,Pea,1985-1986,502,428.2,853,,
Bihar,Rabi,Pea,1986-1987,35.3,22.6,640,,
Haryana,Rabi,Pea,1986-1987,6.5,4.3,662,,
Jammu & Kashmir*,Rabi,Pea,1986-1987,1.7,3.5,2059,,
Kerala*,Rabi,Pea,1986-1987,6.8,4.4,647,,
Madhya Pradesh,Rabi,Pea,1986-1987,116.4,39,335,,
Maharashtra,Rabi,Pea,1986-1987,7,1.8,257,,
Odisha,Rabi,Pea,1986-1987,13.7,9.6,701,,
Punjab,Rabi,Pea,1986-1987,3.3,3.2,970,,
Rajasthan,Rabi,Pea,1986-1987,4.5,12.1,2689,,
Tripura,Rabi,Pea,1986-1987,0.6,0.3,500,,
Uttar Pradesh,Rabi,Pea,1986-1987,276.8,286.3,1034,,
West Bengal,Rabi,Pea,1986-1987,6.1,3.4,557,,
India,Rabi,Pea,1986-1987,478.7,390.5,816,,
Bihar,Rabi,Pea,1987-1988,34.2,25,731,,
Haryana,Rabi,Pea,1987-1988,4.7,4.1,872,,
Jammu & Kashmir*,Rabi,Pea,1987-1988,1.9,3.4,1789,,
Kerala*,Rabi,Pea,1987-1988,6.8,4.4,647,,
Madhya Pradesh,Rabi,Pea,1987-1988,109.6,41.2,376,,
Maharashtra,Rabi,Pea,1987-1988,9.8,3.4,347,,
Punjab,Rabi,Pea,1987-1988,3.4,4.4,1294,,
Rajasthan,Rabi,Pea,1987-1988,3.7,9.2,2486,,
Tripura,Rabi,Pea,1987-1988,0.8,0.4,500,,
Uttar Pradesh,Rabi,Pea,1987-1988,249.5,275.8,1105,,
West Bengal,Rabi,Pea,1987-1988,6.7,6,896,,
India,Rabi,Pea,1987-1988,423.1,377.3,875,,
Bihar,Rabi,Pea,1988-1989,28.5,23,807,,
Haryana,Rabi,Pea,1988-1989,3.1,3,968,,
Jammu & Kashmir,Rabi,Pea,1988-1989,1.9,3.4,1789,,
Kerala*,Rabi,Pea,1988-1989,5.6,3.8,679,,
Madhya Pradesh,Rabi,Pea,1988-1989,110.8,39.3,355,,
Maharashtra,Rabi,Pea,1988-1989,7.7,3.6,468,,
Odisha,Rabi,Pea,1988-1989,10.5,5.6,533,,
Punjab,Rabi,Pea,1988-1989,2.9,2.9,1000,,
Rajasthan,Rabi,Pea,1988-1989,4.3,9.1,2116,,
Tripura,Rabi,Pea,1988-1989,0.8,0.5,625,,
Uttar Pradesh,Rabi,Pea,1988-1989,263.2,321.9,1223,,
West Bengal,Rabi,Pea,1988-1989,5.6,4.6,821,,
India,Rabi,Pea,1988-1989,444.9,420.7,946,,
Bihar,Rabi,Pea,1989-1990,36.6,26.7,730,,
Haryana,Rabi,Pea,1989-1990,2.7,2.5,926,,
Jammu & Kashmir,Rabi,Pea,1989-1990,1.9,3.4,1789,,
Kerala*,Rabi,Pea,1989-1990,6,3.4,567,,
Madhya Pradesh,Rabi,Pea,1989-1990,114.1,41.6,365,,
Maharashtra,Rabi,Pea,1989-1990,6.3,2.7,429,,
Odisha,Rabi,Pea,1989-1990,14.5,8,552,,
Punjab,Rabi,Pea,1989-1990,4.5,4.1,911,,
Rajasthan,Rabi,Pea,1989-1990,6.7,19.5,2910,,
Tripura,Rabi,Pea,1989-1990,1,0.6,600,,
Uttar Pradesh,Rabi,Pea,1989-1990,307.8,346.6,1126,,
West Bengal,Rabi,Pea,1989-1990,3.9,0.8,205,,
India,Rabi,Pea,1989-1990,506,459.9,909,,
Bihar,Rabi,Pea,1990-1991,36.7,27.4,747,,
Haryana,Rabi,Pea,1990-1991,5.8,5,862,,
Jammu & Kashmir,Rabi,Pea,1990-1991,2.1,3.2,1524,,
Kerala*,Rabi,Pea,1990-1991,5.9,4,678,,
Madhya Pradesh,Rabi,Pea,1990-1991,123.4,46.8,379,,
Maharashtra,Rabi,Pea,1990-1991,5.2,2,385,,
Odisha,Rabi,Pea,1990-1991,5.9,3.8,644,,
Punjab,Rabi,Pea,1990-1991,4.4,4.2,955,,
Rajasthan,Rabi,Pea,1990-1991,7.7,15.8,2052,,
Tripura,Rabi,Pea,1990-1991,1,0.5,500,,
Uttar Pradesh,Rabi,Pea,1990-1991,350.5,488.9,1395,,
West Bengal,Rabi,Pea,1990-1991,5.2,3.1,596,,
India,Rabi,Pea,1990-1991,553.8,604.7,1092,,
Assam,Rabi,Pea,1991-1992,36.2,16,769,,
Bihar,Rabi,Pea,1991-1992,32.5,25,1000,,
Haryana,Rabi,Pea,1991-1992,3.1,3.1,1000,,
Jammu & Kashmir,Rabi,Pea,1991-1992,2.1,3.4,1619,,
Kashmir ,Rabi,Pea,1991-1992,,,,,
Kerala*,Rabi,Pea,1991-1992,5.6,3.5,625,,
Madhya Pradesh,Rabi,Pea,1991-1992,115,38.5,335,,
Maharashtra,Rabi,Pea,1991-1992,3.4,0.9,265,,
Odisha,Rabi,Pea,1991-1992,26,15.2,585,,
Punjab,Rabi,Pea,1991-1992,4.2,4.1,976,,
Rajasthan,Rabi,Pea,1991-1992,3.3,5.6,1697,,
Tripura,Rabi,Pea,1991-1992,1,0.6,600,,
Uttar Pradesh,Rabi,Pea,1991-1992,338.7,435.4,1286,,
West Bengal,Rabi,Pea,1991-1992,7.5,0.9,120,,
India,Rabi,Pea,1991-1992,578.6,552.2,954,,
Assam,Rabi,Pea,1992-1993,33.7,15.3,613,,
Bihar,Rabi,Pea,1992-1993,31.3,19.2,950,,
Haryana,Rabi,Pea,1992-1993,2,1.9,950,,
Jammu & Kashmir,Rabi,Pea,1992-1993,2.1,3.3,1571,,
Kerala*,Rabi,Pea,1992-1993,5.3,4.1,774,,
Madhya Pradesh,Rabi,Pea,1992-1993,119.8,41.5,346,,
Maharashtra,Rabi,Pea,1992-1993,6.7,1.6,239,,
Odisha,Rabi,Pea,1992-1993,19.1,10.1,529,,
Punjab,Rabi,Pea,1992-1993,3.5,3.4,971,,
Rajasthan,Rabi,Pea,1992-1993,5.9,6.8,1153,,
Tripura,Rabi,Pea,1992-1993,1.2,0.6,500,,
Uttar Pradesh,Rabi,Pea,1992-1993,369.1,437.4,1185,,
West Bengal,Rabi,Pea,1992-1993,8.8,4.3,489,,
India,Rabi,Pea,1992-1993,608.5,549.5,903,,
Assam,Rabi,Pea,1993-1994,30.7,16.1,571,,
Bihar,Rabi,Pea,1993-1994,29.6,16.9,947,,
Haryana,Rabi,Pea,1993-1994,1.9,1.8,947,,
Jammu & Kashmir,Rabi,Pea,1993-1994,1.9,1.4,737,,
Kerala*,Rabi,Pea,1993-1994,5.5,8.5,1545,,
Madhya Pradesh,Rabi,Pea,1993-1994,141.9,53.7,378,,
Maharashtra,Rabi,Pea,1993-1994,12.3,5.1,415,,
Odisha,Rabi,Pea,1993-1994,26.4,15,568,,
Punjab,Rabi,Pea,1993-1994,2.9,2.8,966,,
Rajasthan,Rabi,Pea,1993-1994,8.7,17.9,2057,,
Tripura,Rabi,Pea,1993-1994,1,0.5,500,,
Uttar Pradesh,Rabi,Pea,1993-1994,420.7,497.1,1182,,
West Bengal,Rabi,Pea,1993-1994,7.1,3.5,493,,
India,Rabi,Pea,1993-1994,690.6,640.3,927,,
Assam,Rabi,Pea,1994-1995,30.4,17.6,579,,
Bihar,Rabi,Pea,1994-1995,30.2,18.4,609,,
Haryana,Rabi,Pea,1994-1995,1.9,2,1053,,
Jammu & Kashmir,Rabi,Pea,1994-1995,2,1.4,700,,
Kerala*,Rabi,Pea,1994-1995,4.9,4,816,,
Madhya Pradesh,Rabi,Pea,1994-1995,169.9,65.2,384,,
Maharashtra,Rabi,Pea,1994-1995,16.9,7.1,420,,
Odisha,Rabi,Pea,1994-1995,28,17.3,618,,
Punjab,Rabi,Pea,1994-1995,6.2,6.1,984,,
Rajasthan,Rabi,Pea,1994-1995,10.1,20.8,2059,,
Tripura,Rabi,Pea,1994-1995,0.8,0.5,625,,
Uttar Pradesh,Rabi,Pea,1994-1995,449.9,501.9,1116,,
West Bengal,Rabi,Pea,1994-1995,6.9,4.2,609,,
India,Rabi,Pea,1994-1995,758.1,666.5,879,,
Assam,Rabi,Pea,1995-1996,31.1,18.6,598,,
Bihar,Rabi,Pea,1995-1996,29.4,16.3,554,,
Haryana,Rabi,Pea,1995-1996,1.8,1.8,1000,,
Jammu & Kashmir,Rabi,Pea,1995-1996,2.1,1.6,762,,
Kerala*,Rabi,Pea,1995-1996,4.7,2.8,596,,
Madhya Pradesh,Rabi,Pea,1995-1996,186.1,72.1,387,,
Maharashtra,Rabi,Pea,1995-1996,13.8,5.7,413,,
Odisha,Rabi,Pea,1995-1996,32.4,20.2,623,,
Punjab,Rabi,Pea,1995-1996,8.5,8.1,953,,
Rajasthan,Rabi,Pea,1995-1996,11.5,20.2,1757,,
Tripura,Rabi,Pea,1995-1996,1.2,0.6,500,,
Uttar Pradesh,Rabi,Pea,1995-1996,435.6,468.8,1076,,
West Bengal,Rabi,Pea,1995-1996,6.3,2.4,381,,
India,Rabi,Pea,1995-1996,764.5,639.2,837,,
Assam,Rabi,Pea,1996-1997,28.4,17,606,,
Bihar,Rabi,Pea,1996-1997,26.2,19.6,748,,
Haryana,Rabi,Pea,1996-1997,1.6,1.6,1000,,
Himachal Pradesh,Rabi,Pea,1996-1997,4.4,1.3,295,,
Jammu & Kashmir,Rabi,Pea,1996-1997,2.2,2.1,955,,
Kerala*,Rabi,Pea,1996-1997,4.7,2.1,445,,
Madhya Pradesh,Rabi,Pea,1996-1997,185.9,75.6,407,,
Maharashtra,Rabi,Pea,1996-1997,13.1,7.9,603,,
Odisha,Rabi,Pea,1996-1997,32.4,20.2,623,,
Punjab,Rabi,Pea,1996-1997,5.8,5,862,,
Rajasthan,Rabi,Pea,1996-1997,10.8,23.6,2185,,
Tripura,Rabi,Pea,1996-1997,1,0.6,600,,
Uttar Pradesh,Rabi,Pea,1996-1997,410.4,540.1,1316,,
West Bengal,Rabi,Pea,1996-1997,8.6,4.9,570,,
India,Rabi,Pea,1996-1997,735.5,721.8,981,,
Assam,Rabi,Pea,1997-1998,28.7,17.4,606,,
Bihar,Rabi,Pea,1997-1998,28.5,17.8,625,,
Haryana,Rabi,Pea,1997-1998,1.2,1.1,917,,
Himachal Pradesh,Rabi,Pea,1997-1998,4.4,1.3,295,,
Jammu & Kashmir,Rabi,Pea,1997-1998,2.2,2,909,,
Kerala*,Rabi,Pea,1997-1998,9,7,778,,
Madhya Pradesh,Rabi,Pea,1997-1998,175.1,60.9,348,,
Maharashtra,Rabi,Pea,1997-1998,14.9,6.1,409,,
Odisha,Rabi,Pea,1997-1998,32.4,20.2,623,,
Punjab,Rabi,Pea,1997-1998,3.3,3.1,939,,
Rajasthan,Rabi,Pea,1997-1998,10.5,21.8,2076,,
Tripura,Rabi,Pea,1997-1998,1,0.6,600,,
Uttar Pradesh,Rabi,Pea,1997-1998,427.4,445,1041,,
West Bengal,Rabi,Pea,1997-1998,7.4,5.7,770,,
India,Rabi,Pea,1997-1998,746,610,818,,
Assam,Rabi,Pea,1998-1999,27.2,16.4,603,,
Bihar,Rabi,Pea,1998-1999,30.2,20,662,,
Haryana,Rabi,Pea,1998-1999,0.8,0.8,1000,,
Himachal Pradesh,Rabi,Pea,1998-1999,4.6,1.5,326,,
Jammu & Kashmir,Rabi,Pea,1998-1999,2,1.7,850,,
Kerala*,Rabi,Pea,1998-1999,7.7,5.8,753,,
Madhya Pradesh,Rabi,Pea,1998-1999,196,84.6,432,,
Maharashtra,Rabi,Pea,1998-1999,16.7,7,419,,
Odisha,Rabi,Pea,1998-1999,32.4,20.2,623,,
Punjab,Rabi,Pea,1998-1999,4.3,4.1,953,,
Rajasthan,Rabi,Pea,1998-1999,14.8,32.5,2196,,
Tripura,Rabi,Pea,1998-1999,0.8,0.5,625,,
Uttar Pradesh,Rabi,Pea,1998-1999,492.1,504.6,1025,,
West Bengal,Rabi,Pea,1998-1999,9.2,6.8,739,,
India,Rabi,Pea,1998-1999,838.8,706.5,843,,
Assam,Rabi,Pea,1999-2000,26.4,15.1,572,,
Bihar,Rabi,Pea,1999-2000,28.4,20.3,715,,
Haryana,Rabi,Pea,1999-2000,0.7,0.6,857,,
Himachal Pradesh,Rabi,Pea,1999-2000,5,2,400,,
Jammu & Kashmir,Rabi,Pea,1999-2000,1.9,1.6,842,,
Kerala*,Rabi,Pea,1999-2000,7.4,5.6,756,,
Madhya Pradesh,Rabi,Pea,1999-2000,206.3,104.3,625,,
Maharashtra,Rabi,Pea,1999-2000,17.9,8.6,480,,
Odisha,Rabi,Pea,1999-2000,48.3,30.1,623,,
Punjab,Rabi,Pea,1999-2000,3.8,4.2,1105,,
Rajasthan,Rabi,Pea,1999-2000,11.3,25,2212,,
Tripura,Rabi,Pea,1999-2000,0.8,0.5,625,,
Uttar Pradesh,Rabi,Pea,1999-2000,423.8,586,1383,,
West Bengal,Rabi,Pea,1999-2000,14.5,12.9,890,,
India,Rabi,Pea,1999-2000,796.5,816.8,1027,,1025.486503
Assam,Rabi,Pea,2000-2001,25,14.5,580,,
Bihar,Rabi,Pea,2000-2001,25.7,24.8,965,,
Chhattisgarh,Rabi,Pea,2000-2001,8.9,3.2,360,,
Haryana,Rabi,Pea,2000-2001,1,0.8,800,,
Himachal Pradesh,Rabi,Pea,2000-2001,4.9,5.6,1143,,
Jammu & Kashmir,Rabi,Pea,2000-2001,1.2,1,833,,
Kerala*,Rabi,Pea,2000-2001,4.1,3.2,780,,
Madhya Pradesh,Rabi,Pea,2000-2001,168.7,71.1,421,,
Maharashtra,Rabi,Pea,2000-2001,15,6,400,,
Manipur*,Rabi,Pea,2000-2001,4,2.1,525,,
Odisha,Rabi,Pea,2000-2001,37.7,23.5,623,,
Punjab,Rabi,Pea,2000-2001,5.9,6.3,1068,,
Rajasthan,Rabi,Pea,2000-2001,12.6,24.4,1937,,
Tripura,Rabi,Pea,2000-2001,1.1,0.8,727,,
Uttar Pradesh,Rabi,Pea,2000-2001,333.5,344.2,1032,,
Uttarakhand,Rabi,Pea,2000-2001,3,4.2,1400,,
West Bengal,Rabi,Pea,2000-2001,7.3,6.1,836,,
India,Rabi,Pea,2000-2001,659.6,541.8,13905,,
Assam,Rabi,Pea,2001-2002,24.4,14.3,586,,
Bihar,Rabi,Pea,2001-2002,23.8,23.4,983,,
Chhattisgarh,Rabi,Pea,2001-2002,11.9,4.4,370,,
Haryana,Rabi,Pea,2001-2002,1.2,1.2,1000,,
Himachal Pradesh,Rabi,Pea,2001-2002,4.8,1.7,354,,
Jammu & Kashmir,Rabi,Pea,2001-2002,1.5,1.1,733,,
Jharkhand,Rabi,Pea,2001-2002,2.9,2.2,759,,
Kerala*,Rabi,Pea,2001-2002,4.1,3.2,780,,
Madhya Pradesh,Rabi,Pea,2001-2002,179.1,84.4,471,,
Maharashtra,Rabi,Pea,2001-2002,19,10,526,,
Manipur*,Rabi,Pea,2001-2002,4.1,2.1,512,,
Odisha,Rabi,Pea,2001-2002,39.5,24.6,623,,
Punjab,Rabi,Pea,2001-2002,5.3,5.8,1094,,
Rajasthan,Rabi,Pea,2001-2002,12.5,24.4,1952,,
Tripura,Rabi,Pea,2001-2002,1.2,0.8,667,,
Uttar Pradesh,Rabi,Pea,2001-2002,327,396,1211,,
Uttarakhand,Rabi,Pea,2001-2002,4,4.1,1025,,
West Bengal,Rabi,Pea,2001-2002,8.8,5.6,636,,
India,Rabi,Pea,2001-2002,675.1,609.3,13771,,
Assam,Rabi,Pea,2002-2003,23,14,609,,
Bihar,Rabi,Pea,2002-2003,23.3,20.8,893,,
Chhattisgarh,Rabi,Pea,2002-2003,12.2,4.2,344,,
Haryana,Rabi,Pea,2002-2003,1.6,1.9,1188,,
Himachal Pradesh,Rabi,Pea,2002-2003,8,10,1250,,
Jammu & Kashmir,Rabi,Pea,2002-2003,1.7,1.2,706,,
Jharkhand,Rabi,Pea,2002-2003,2.9,2.1,724,,
Kerala*,Rabi,Pea,2002-2003,2.8,2.1,750,,
Madhya Pradesh,Rabi,Pea,2002-2003,193.4,77.6,401,,
Maharashtra,Rabi,Pea,2002-2003,13,5,385,,
Manipur*,Rabi,Pea,2002-2003,3.7,1.8,486,,
Punjab,Rabi,Pea,2002-2003,4.6,5.2,1130,,
Rajasthan,Rabi,Pea,2002-2003,10.5,23.7,2257,,
Tripura,Rabi,Pea,2002-2003,1.3,0.8,615,,
Uttar Pradesh,Rabi,Pea,2002-2003,354.9,418.6,1179,,
Uttarakhand,Rabi,Pea,2002-2003,3.9,3.8,974,,
West Bengal,Rabi,Pea,2002-2003,10.8,8.7,806,,
India,Rabi,Pea,2002-2003,671.6,601.5,14211,,895.6223943
Assam,Rabi,Pea,2003-2004,25,15,600,,
Bihar,Rabi,Pea,2003-2004,23.7,22.2,937,,
Chhattisgarh,Rabi,Pea,2003-2004,17.3,6.5,376,,
Haryana,Rabi,Pea,2003-2004,1,1.1,1100,,
Himachal Pradesh,Rabi,Pea,2003-2004,4,2,500,,
Jammu & Kashmir,Rabi,Pea,2003-2004,1.7,1.2,706,,
Jharkhand,Rabi,Pea,2003-2004,10,7.7,770,,
Kerala*,Rabi,Pea,2003-2004,1.9,1.4,737,,
Madhya Pradesh,Rabi,Pea,2003-2004,200.5,96.7,482,,
Maharashtra,Rabi,Pea,2003-2004,18,7,389,,
Manipur*,Rabi,Pea,2003-2004,4,2,500,,
Punjab,Rabi,Pea,2003-2004,3.9,4.3,1103,,
Rajasthan,Rabi,Pea,2003-2004,12.7,25.4,2000,,
Tripura,Rabi,Pea,2003-2004,1,0.8,800,,
Uttar Pradesh,Rabi,Pea,2003-2004,370.4,512.6,1384,,
Uttarakhand,Rabi,Pea,2003-2004,3.8,4.1,1079,,
West Bengal,Rabi,Pea,2003-2004,14.6,17.2,1178,,
India,Rabi,Pea,2003-2004,713.5,727.2,1019,,
Assam,Rabi,Pea,2004-2005,23.3,14.4,618,,
Bihar,Rabi,Pea,2004-2005,22.8,20.1,882,,
Chhattisgarh,Rabi,Pea,2004-2005,16.6,5.3,319,,
Haryana,Rabi,Pea,2004-2005,1.4,1.8,1286,,
Himachal Pradesh,Rabi,Pea,2004-2005,6,6,1000,,
Jammu & Kashmir,Rabi,Pea,2004-2005,1.7,1.2,706,,
Jharkhand,Rabi,Pea,2004-2005,10.2,9,882,,
Kerala*,Rabi,Pea,2004-2005,1.1,0.8,727,,
Madhya Pradesh,Rabi,Pea,2004-2005,218.7,105.6,483,,
Maharashtra,Rabi,Pea,2004-2005,12.5,3.4,272,,
Manipur*,Rabi,Pea,2004-2005,3.9,2,513,,
Punjab,Rabi,Pea,2004-2005,3.6,4,1111,,
Rajasthan,Rabi,Pea,2004-2005,12.5,28,2240,,
Tripura,Rabi,Pea,2004-2005,1.1,0.8,727,,
Uttar Pradesh,Rabi,Pea,2004-2005,443.7,575.7,1297,,
Uttarakhand,Rabi,Pea,2004-2005,3.8,4.1,1079,,
West Bengal,Rabi,Pea,2004-2005,14.3,9.4,657,,
India,Rabi,Pea,2004-2005,797.2,791.6,993,,992.9754139
Assam,Rabi,Pea,2005-2006,17.9,11.3,631,,
Bihar,Rabi,Pea,2005-2006,24.1,21.5,892,,
Chhattisgarh,Rabi,Pea,2005-2006,18.2,6.4,352,,
Haryana,Rabi,Pea,2005-2006,1.4,1.7,1214,,
Himachal Pradesh,Rabi,Pea,2005-2006,5.1,10.5,2059,,
Jammu & Kashmir,Rabi,Pea,2005-2006,1.6,1.1,688,,
Jharkhand,Rabi,Pea,2005-2006,7.7,6.2,805,,
Kerala*,Rabi,Pea,2005-2006,2.8,2.1,750,,
