States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Karnataka,Total,Kulthi (Horse Gram),1977-1978,550.00,232.00,422
Madhya Pradesh,Total,Kulthi (Horse Gram),1977-1978,196.00,59.00,298
Maharashtra,Total,Kulthi (Horse Gram),1977-1978,274.00,81.00,297
Odisha,Total,Kulthi (Horse Gram),1977-1978,310.00,143.00,462
Tamil Nadu,Total,Kulthi (Horse Gram),1977-1978,193.00,46.00,236
West Bengal,Total,Kulthi (Horse Gram),1977-1978,5.00,2.00,489
India,Total,Kulthi (Horse Gram),1977-1978,2002.00,700.00,350
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1978-1979,138.00,29.00,208
Bihar,Kharif,Kulthi (Horse Gram),1978-1979,106.00,51.00,479
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1978-1979,8.00,3.00,321
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1978-1979,3.00,1.00,344
Karnataka,Kharif,Kulthi (Horse Gram),1978-1979,553.00,241.00,436
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1978-1979,190.00,53.00,277
Maharashtra,Kharif,Kulthi (Horse Gram),1978-1979,249.00,72.00,287
Odisha,Kharif,Kulthi (Horse Gram),1978-1979,11.00,5.00,438
Tamil Nadu,Kharif,Kulthi (Horse Gram),1978-1979,207.00,49.00,238
India,Kharif,Kulthi (Horse Gram),1978-1979,1465.00,503.00,343
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1978-1979,220.00,60.00,272
Karnataka,Rabi,Kulthi (Horse Gram),1978-1979,135.00,18.00,137
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1978-1979,10.00,3.00,295
Maharashtra,Rabi,Kulthi (Horse Gram),1978-1979,16.00,3.00,195
Odisha,Rabi,Kulthi (Horse Gram),1978-1979,329.00,151.00,459
West Bengal,Rabi,Kulthi (Horse Gram),1978-1979,4.00,2.00,439
India,Rabi,Kulthi (Horse Gram),1978-1979,713.00,237.00,333
Andhra Pradesh,Total,Kulthi (Horse Gram),1978-1979,358.00,89.00,247
Bihar,Total,Kulthi (Horse Gram),1978-1979,106.00,51.00,479
Himachal Pradesh,Total,Kulthi (Horse Gram),1978-1979,8.00,3.00,321
Jammu & Kashmir,Total,Kulthi (Horse Gram),1978-1979,3.00,1.00,344
Karnataka,Total,Kulthi (Horse Gram),1978-1979,687.00,260.00,378
Madhya Pradesh,Total,Kulthi (Horse Gram),1978-1979,199.00,55.00,278
Maharashtra,Total,Kulthi (Horse Gram),1978-1979,265.00,75.00,282
Odisha,Total,Kulthi (Horse Gram),1978-1979,340.00,156.00,459
Tamil Nadu,Total,Kulthi (Horse Gram),1978-1979,207.00,49.00,238
West Bengal,Total,Kulthi (Horse Gram),1978-1979,4.00,2.00,439
India,Total,Kulthi (Horse Gram),1978-1979,2178.00,740.00,340
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1979-1980,127.00,24.00,184
Bihar,Kharif,Kulthi (Horse Gram),1979-1980,89.00,42.00,470
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1979-1980,4.00,1.00,231
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1979-1980,3.00,1.00,300
Karnataka,Kharif,Kulthi (Horse Gram),1979-1980,559.00,201.00,360
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1979-1980,177.00,38.00,215
Maharashtra,Kharif,Kulthi (Horse Gram),1979-1980,280.00,79.00,283
Odisha,Kharif,Kulthi (Horse Gram),1979-1980,11.00,4.00,358
Tamil Nadu,Kharif,Kulthi (Horse Gram),1979-1980,195.00,46.00,233
India,Kharif,Kulthi (Horse Gram),1979-1980,1445.00,435.00,301
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1979-1980,219.00,50.00,231
Bihar,Rabi,Kulthi (Horse Gram),1979-1980,132.00,59.00,444
Kerala,Rabi,Kulthi (Horse Gram),1979-1980,17.00,8.00,482
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1979-1980,10.00,2.00,222
Maharashtra,Rabi,Kulthi (Horse Gram),1979-1980,10.00,3.00,240
Odisha,Rabi,Kulthi (Horse Gram),1979-1980,352.00,107.00,303
West Bengal,Rabi,Kulthi (Horse Gram),1979-1980,4.00,2.00,439
India,Rabi,Kulthi (Horse Gram),1979-1980,744.00,230.00,309
Andhra Pradesh,Total,Kulthi (Horse Gram),1979-1980,346.00,74.00,214
Bihar,Total,Kulthi (Horse Gram),1979-1980,221.00,100.00,454
Himachal Pradesh,Total,Kulthi (Horse Gram),1979-1980,4.00,1.00,231
Jammu & Kashmir,Total,Kulthi (Horse Gram),1979-1980,3.00,1.00,300
Karnataka,Total,Kulthi (Horse Gram),1979-1980,559.00,201.00,360
Kerala,Total,Kulthi (Horse Gram),1979-1980,17.00,8.00,482
Madhya Pradesh,Total,Kulthi (Horse Gram),1979-1980,187.00,40.00,215
Maharashtra,Total,Kulthi (Horse Gram),1979-1980,290.00,82.00,281
Odisha,Total,Kulthi (Horse Gram),1979-1980,363.00,111.00,305
Tamil Nadu,Total,Kulthi (Horse Gram),1979-1980,195.00,46.00,233
West Bengal,Total,Kulthi (Horse Gram),1979-1980,4.00,2.00,429
India,Total,Kulthi (Horse Gram),1979-1980,2189.00,665.00,304
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1980-1981,126.00,15.00,119
Bihar,Kharif,Kulthi (Horse Gram),1980-1981,93.00,36.00,387
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1980-1981,2.00,1.00,333
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1980-1981,3.00,1.00,393
Karnataka,Kharif,Kulthi (Horse Gram),1980-1981,528.00,159.00,300
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1980-1981,170.00,45.00,265
Maharashtra,Kharif,Kulthi (Horse Gram),1980-1981,304.00,55.00,180
Odisha,Kharif,Kulthi (Horse Gram),1980-1981,13.00,6.00,433
Tamil Nadu,Kharif,Kulthi (Horse Gram),1980-1981,161.00,38.00,233
India,Kharif,Kulthi (Horse Gram),1980-1981,1401.00,355.00,253
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1980-1981,194.00,46.00,237
Karnataka,Rabi,Kulthi (Horse Gram),1980-1981,157.00,44.00,282
Kerala,Rabi,Kulthi (Horse Gram),1980-1981,16.00,11.00,701
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1980-1981,10.00,3.00,274
Maharashtra,Rabi,Kulthi (Horse Gram),1980-1981,10.00,2.00,200
Odisha,Rabi,Kulthi (Horse Gram),1980-1981,330.00,155.00,468
West Bengal,Rabi,Kulthi (Horse Gram),1980-1981,3.00,1.00,483
India,Rabi,Kulthi (Horse Gram),1980-1981,720.00,262.00,364
Andhra Pradesh,Total,Kulthi (Horse Gram),1980-1981,320.00,61.00,191
Bihar,Total,Kulthi (Horse Gram),1980-1981,93.00,36.00,387
Himachal Pradesh,Total,Kulthi (Horse Gram),1980-1981,2.00,1.00,333
Jammu & Kashmir,Total,Kulthi (Horse Gram),1980-1981,3.00,1.00,393
Karnataka,Total,Kulthi (Horse Gram),1980-1981,686.00,203.00,296
Kerala,Total,Kulthi (Horse Gram),1980-1981,16.00,11.00,701
Madhya Pradesh,Total,Kulthi (Horse Gram),1980-1981,180.00,48.00,266
Maharashtra,Total,Kulthi (Horse Gram),1980-1981,315.00,57.00,180
Odisha,Total,Kulthi (Horse Gram),1980-1981,343.00,160.00,467
Tamil Nadu,Total,Kulthi (Horse Gram),1980-1981,161.00,38.00,233
West Bengal,Total,Kulthi (Horse Gram),1980-1981,3.00,1.00,483
India,Total,Kulthi (Horse Gram),1980-1981,2121.00,616.00,291
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1981-1982,107.00,28.00,264
Bihar,Kharif,Kulthi (Horse Gram),1981-1982,89.00,45.00,505
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1981-1982,6.00,1.00,145
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1981-1982,2.00,1.00,348
Karnataka,Kharif,Kulthi (Horse Gram),1981-1982,528.00,216.00,410
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1981-1982,172.00,51.00,295
Maharashtra,Kharif,Kulthi (Horse Gram),1981-1982,274.00,60.00,218
Odisha,Kharif,Kulthi (Horse Gram),1981-1982,2.00,1.00,438
Tamil Nadu,Kharif,Kulthi (Horse Gram),1981-1982,149.00,36.00,242
India,Kharif,Kulthi (Horse Gram),1981-1982,1328.00,438.00,330
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1981-1982,187.00,49.00,237
Karnataka,Rabi,Kulthi (Horse Gram),1981-1982,153.00,60.00,282
Kerala,Rabi,Kulthi (Horse Gram),1981-1982,15.00,10.00,701
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1981-1982,9.00,3.00,274
Maharashtra,Rabi,Kulthi (Horse Gram),1981-1982,18.00,3.00,167
Odisha,Rabi,Kulthi (Horse Gram),1981-1982,330.00,155.00,468
West Bengal,Rabi,Kulthi (Horse Gram),1981-1982,4.00,2.00,500
India,Rabi,Kulthi (Horse Gram),1981-1982,716.00,282.00,364
Andhra Pradesh,Total,Kulthi (Horse Gram),1981-1982,295.00,78.00,263
Bihar,Total,Kulthi (Horse Gram),1981-1982,89.00,45.00,505
Himachal Pradesh,Total,Kulthi (Horse Gram),1981-1982,6.00,1.00,145
Jammu & Kashmir,Total,Kulthi (Horse Gram),1981-1982,2.00,1.00,348
Karnataka,Total,Kulthi (Horse Gram),1981-1982,681.00,276.00,406
Kerala,Total,Kulthi (Horse Gram),1981-1982,15.00,10.00,680
Madhya Pradesh,Total,Kulthi (Horse Gram),1981-1982,181.00,53.00,294
Maharashtra,Total,Kulthi (Horse Gram),1981-1982,292.00,63.00,216
Odisha,Total,Kulthi (Horse Gram),1981-1982,332.00,155.00,468
Tamil Nadu,Total,Kulthi (Horse Gram),1981-1982,149.00,36.00,242
West Bengal,Total,Kulthi (Horse Gram),1981-1982,4.00,2.00,500
India,Total,Kulthi (Horse Gram),1981-1982,2044.00,720.00,352
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1982-1983,113.00,35.00,311
Bihar,Kharif,Kulthi (Horse Gram),1982-1983,80.00,35.00,435
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1982-1983,1.00,0.00,0
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1982-1983,2.00,1.00,333
Karnataka,Kharif,Kulthi (Horse Gram),1982-1983,557.00,151.00,271
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1982-1983,179.00,43.00,241
Maharashtra,Kharif,Kulthi (Horse Gram),1982-1983,223.00,49.00,218
Odisha,Kharif,Kulthi (Horse Gram),1982-1983,12.00,6.00,483
Tamil Nadu,Kharif,Kulthi (Horse Gram),1982-1983,176.00,77.00,436
India,Kharif,Kulthi (Horse Gram),1982-1983,1343.00,396.00,295
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1982-1983,195.00,61.00,311
Karnataka,Rabi,Kulthi (Horse Gram),1982-1983,126.00,32.00,250
Kerala,Rabi,Kulthi (Horse Gram),1982-1983,17.00,12.00,678
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1982-1983,10.00,3.00,281
Maharashtra,Rabi,Kulthi (Horse Gram),1982-1983,15.00,2.00,164
Odisha,Rabi,Kulthi (Horse Gram),1982-1983,262.00,132.00,504
West Bengal,Rabi,Kulthi (Horse Gram),1982-1983,6.00,3.00,536
India,Rabi,Kulthi (Horse Gram),1982-1983,630.00,244.00,387
Andhra Pradesh,Total,Kulthi (Horse Gram),1982-1983,307.00,96.00,311
Bihar,Total,Kulthi (Horse Gram),1982-1983,80.00,35.00,435
Himachal Pradesh,Total,Kulthi (Horse Gram),1982-1983,1.00,0.00,0
Jammu & Kashmir,Total,Kulthi (Horse Gram),1982-1983,2.00,1.00,333
Karnataka,Total,Kulthi (Horse Gram),1982-1983,683.00,183.00,267
Kerala,Total,Kulthi (Horse Gram),1982-1983,17.00,12.00,678
Madhya Pradesh,Total,Kulthi (Horse Gram),1982-1983,188.00,46.00,243
Maharashtra,Total,Kulthi (Horse Gram),1982-1983,238.00,51.00,215
Odisha,Total,Kulthi (Horse Gram),1982-1983,274.00,138.00,503
Tamil Nadu,Total,Kulthi (Horse Gram),1982-1983,176.00,77.00,439
West Bengal,Total,Kulthi (Horse Gram),1982-1983,6.00,3.00,536
India,Total,Kulthi (Horse Gram),1982-1983,1973.00,640.00,324
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1983-1984,102.00,31.00,299
Bihar,Kharif,Kulthi (Horse Gram),1983-1984,90.00,41.00,454
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1983-1984,3.00,1.00,308
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1983-1984,2.00,1.00,286
Karnataka,Kharif,Kulthi (Horse Gram),1983-1984,496.00,197.00,397
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1983-1984,177.00,55.00,309
Maharashtra,Kharif,Kulthi (Horse Gram),1983-1984,285.00,91.00,318
Tamil Nadu,Kharif,Kulthi (Horse Gram),1983-1984,153.00,61.00,398
India,Kharif,Kulthi (Horse Gram),1983-1984,1309.00,476.00,364
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1983-1984,180.00,51.00,285
Karnataka,Rabi,Kulthi (Horse Gram),1983-1984,131.00,54.00,415
Kerala,Rabi,Kulthi (Horse Gram),1983-1984,18.00,12.00,672
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1983-1984,11.00,3.00,292
Maharashtra,Rabi,Kulthi (Horse Gram),1983-1984,17.00,4.00,241
Odisha,Rabi,Kulthi (Horse Gram),1983-1984,262.00,155.00,592
West Bengal,Rabi,Kulthi (Horse Gram),1983-1984,4.00,2.00,500
India,Rabi,Kulthi (Horse Gram),1983-1984,623.00,282.00,453
Andhra Pradesh,Total,Kulthi (Horse Gram),1983-1984,283.00,82.00,290
Bihar,Total,Kulthi (Horse Gram),1983-1984,90.00,41.00,454
Himachal Pradesh,Total,Kulthi (Horse Gram),1983-1984,3.00,1.00,308
Jammu & Kashmir,Total,Kulthi (Horse Gram),1983-1984,2.00,1.00,286
Karnataka,Total,Kulthi (Horse Gram),1983-1984,627.00,251.00,401
Kerala,Total,Kulthi (Horse Gram),1983-1984,18.00,12.00,672
Madhya Pradesh,Total,Kulthi (Horse Gram),1983-1984,188.00,58.00,308
Maharashtra,Total,Kulthi (Horse Gram),1983-1984,301.00,95.00,314
Odisha,Total,Kulthi (Horse Gram),1983-1984,262.00,155.00,592
Tamil Nadu,Total,Kulthi (Horse Gram),1983-1984,153.00,61.00,398
West Bengal,Total,Kulthi (Horse Gram),1983-1984,4.00,2.00,500
India,Total,Kulthi (Horse Gram),1983-1984,1931.00,758.00,393
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1984-1985,87.00,18.00,206
Bihar,Kharif,Kulthi (Horse Gram),1984-1985,82.00,43.00,522
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1984-1985,8.00,2.00,195
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1984-1985,3.00,1.00,286
Karnataka,Kharif,Kulthi (Horse Gram),1984-1985,356.00,123.00,344
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1984-1985,173.00,44.00,256
Maharashtra,Kharif,Kulthi (Horse Gram),1984-1985,258.00,81.00,315
Odisha,Kharif,Kulthi (Horse Gram),1984-1985,7.00,4.00,515
Tamil Nadu,Kharif,Kulthi (Horse Gram),1984-1985,156.00,61.00,392
India,Kharif,Kulthi (Horse Gram),1984-1985,1128.00,376.00,333
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1984-1985,150.00,43.00,287
Karnataka,Rabi,Kulthi (Horse Gram),1984-1985,210.00,47.00,221
Kerala,Rabi,Kulthi (Horse Gram),1984-1985,17.00,12.00,731
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1984-1985,10.00,3.00,280
Maharashtra,Rabi,Kulthi (Horse Gram),1984-1985,13.00,3.00,248
Odisha,Rabi,Kulthi (Horse Gram),1984-1985,338.00,143.00,422
West Bengal,Rabi,Kulthi (Horse Gram),1984-1985,6.00,3.00,484
India,Rabi,Kulthi (Horse Gram),1984-1985,744.00,254.00,341
Andhra Pradesh,Total,Kulthi (Horse Gram),1984-1985,237.00,61.00,257
Bihar,Total,Kulthi (Horse Gram),1984-1985,82.00,43.00,522
Himachal Pradesh,Total,Kulthi (Horse Gram),1984-1985,8.00,2.00,195
Jammu & Kashmir,Total,Kulthi (Horse Gram),1984-1985,3.00,1.00,286
Karnataka,Total,Kulthi (Horse Gram),1984-1985,566.00,169.00,299
Kerala,Total,Kulthi (Horse Gram),1984-1985,17.00,12.00,731
Madhya Pradesh,Total,Kulthi (Horse Gram),1984-1985,183.00,47.00,257
Maharashtra,Total,Kulthi (Horse Gram),1984-1985,270.00,84.00,312
Odisha,Total,Kulthi (Horse Gram),1984-1985,345.00,146.00,424
Tamil Nadu,Total,Kulthi (Horse Gram),1984-1985,156.00,61.00,392
West Bengal,Total,Kulthi (Horse Gram),1984-1985,6.00,3.00,484
India,Total,Kulthi (Horse Gram),1984-1985,1872.00,629.00,336
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1985-1986,78.00,21.00,269
Bihar,Kharif,Kulthi (Horse Gram),1985-1986,83.00,46.00,546
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1985-1986,7.00,2.00,230
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1985-1986,3.00,1.00,300
Karnataka,Kharif,Kulthi (Horse Gram),1985-1986,351.00,71.00,203
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1985-1986,170.00,40.00,237
Maharashtra,Kharif,Kulthi (Horse Gram),1985-1986,260.00,75.00,286
Odisha,Kharif,Kulthi (Horse Gram),1985-1986,14.00,9.00,633
Tamil Nadu,Kharif,Kulthi (Horse Gram),1985-1986,166.00,64.00,387
India,Kharif,Kulthi (Horse Gram),1985-1986,1132.00,328.00,290
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1985-1986,138.00,43.00,311
Karnataka,Rabi,Kulthi (Horse Gram),1985-1986,153.00,52.00,340
Kerala,Rabi,Kulthi (Horse Gram),1985-1986,22.00,17.00,744
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1985-1986,9.00,3.00,287
Maharashtra,Rabi,Kulthi (Horse Gram),1985-1986,12.00,3.00,277
Odisha,Rabi,Kulthi (Horse Gram),1985-1986,327.00,161.00,491
West Bengal,Rabi,Kulthi (Horse Gram),1985-1986,7.00,4.00,537
India,Rabi,Kulthi (Horse Gram),1985-1986,668.00,282.00,422
Andhra Pradesh,Total,Kulthi (Horse Gram),1985-1986,216.00,64.00,296
Bihar,Total,Kulthi (Horse Gram),1985-1986,83.00,46.00,546
Himachal Pradesh,Total,Kulthi (Horse Gram),1985-1986,7.00,2.00,230
Jammu & Kashmir,Total,Kulthi (Horse Gram),1985-1986,3.00,1.00,300
Karnataka,Total,Kulthi (Horse Gram),1985-1986,503.00,123.00,245
Kerala,Total,Kulthi (Horse Gram),1985-1986,22.00,17.00,744
Madhya Pradesh,Total,Kulthi (Horse Gram),1985-1986,179.00,43.00,239
Maharashtra,Total,Kulthi (Horse Gram),1985-1986,272.00,78.00,286
Odisha,Total,Kulthi (Horse Gram),1985-1986,341.00,169.00,497
Tamil Nadu,Total,Kulthi (Horse Gram),1985-1986,166.00,64.00,387
West Bengal,Total,Kulthi (Horse Gram),1985-1986,7.00,4.00,537
India,Total,Kulthi (Horse Gram),1985-1986,1800.00,610.00,339
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1986-1987,62.00,20.00,330
Bihar,Kharif,Kulthi (Horse Gram),1986-1987,81.00,43.00,527
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1986-1987,5.00,1.00,167
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1986-1987,3.00,1.00,276
Karnataka,Kharif,Kulthi (Horse Gram),1986-1987,319.00,119.00,375
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1986-1987,165.00,42.00,257
Maharashtra,Kharif,Kulthi (Horse Gram),1986-1987,312.00,90.00,289
Odisha,Kharif,Kulthi (Horse Gram),1986-1987,11.00,5.00,459
Tamil Nadu,Kharif,Kulthi (Horse Gram),1986-1987,126.00,54.00,429
India,Kharif,Kulthi (Horse Gram),1986-1987,1084.00,376.00,347
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1986-1987,124.00,42.00,338
Karnataka,Rabi,Kulthi (Horse Gram),1986-1987,145.00,67.00,463
Kerala,Rabi,Kulthi (Horse Gram),1986-1987,16.00,12.00,727
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1986-1987,9.00,2.00,267
Maharashtra,Rabi,Kulthi (Horse Gram),1986-1987,13.00,3.00,242
Odisha,Rabi,Kulthi (Horse Gram),1986-1987,357.00,157.00,440
West Bengal,Rabi,Kulthi (Horse Gram),1986-1987,7.00,4.00,500
India,Rabi,Kulthi (Horse Gram),1986-1987,672.00,287.00,428
Andhra Pradesh,Total,Kulthi (Horse Gram),1986-1987,186.00,42.00,226
Bihar,Total,Kulthi (Horse Gram),1986-1987,81.00,43.00,527
Himachal Pradesh,Total,Kulthi (Horse Gram),1986-1987,5.00,1.00,167
Jammu & Kashmir,Total,Kulthi (Horse Gram),1986-1987,3.00,1.00,276
Karnataka,Total,Kulthi (Horse Gram),1986-1987,463.00,186.00,145
Kerala,Total,Kulthi (Horse Gram),1986-1987,16.00,12.00,727
Madhya Pradesh,Total,Kulthi (Horse Gram),1986-1987,174.00,2.00,13
Maharashtra,Total,Kulthi (Horse Gram),1986-1987,325.00,3.00,10
Odisha,Total,Kulthi (Horse Gram),1986-1987,368.00,157.00,427
Tamil Nadu,Total,Kulthi (Horse Gram),1986-1987,126.00,54.00,429
West Bengal,Total,Kulthi (Horse Gram),1986-1987,7.00,4.00,500
India,Total,Kulthi (Horse Gram),1986-1987,1755.00,505.00,164
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1987-1988,63.00,16.00,248
Bihar,Kharif,Kulthi (Horse Gram),1987-1988,75.00,30.00,399
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1987-1988,7.00,1.00,77
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1987-1988,3.00,-,-
Karnataka,Kharif,Kulthi (Horse Gram),1987-1988,334.00,128.00,384
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1987-1988,161.00,37.00,229
Maharashtra,Kharif,Kulthi (Horse Gram),1987-1988,279.00,68.00,244
Odisha,Kharif,Kulthi (Horse Gram),1987-1988,18.00,8.00,423
Tamil Nadu,Kharif,Kulthi (Horse Gram),1987-1988,163.00,72.00,438
India,Kharif,Kulthi (Horse Gram),1987-1988,1103.00,359.00,325
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1987-1988,133.00,37.00,279
Karnataka,Rabi,Kulthi (Horse Gram),1987-1988,179.00,75.00,417
Kerala,Rabi,Kulthi (Horse Gram),1987-1988,16.00,12.00,735
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1987-1988,8.00,2.00,284
Maharashtra,Rabi,Kulthi (Horse Gram),1987-1988,9.00,2.00,264
Odisha,Rabi,Kulthi (Horse Gram),1987-1988,413.00,200.00,484
West Bengal,Rabi,Kulthi (Horse Gram),1987-1988,9.00,5.00,517
India,Rabi,Kulthi (Horse Gram),1987-1988,767.00,333.00,434
Andhra Pradesh,Total,Kulthi (Horse Gram),1987-1988,196.00,53.00,269
Bihar,Total,Kulthi (Horse Gram),1987-1988,75.00,30.00,399
